Age Group,Which country reside (cleaned),Are you currently a student or are you employed? (cleaned),Study field groups (cleaned),What stage of studying are you in?,Field of work (cleaned),How many years of experience do you have?,How big is your company/team (in persons)?,How important is it for you to have a good GUI experience?,How familiar are you with the term User-centred design (UCD) ?,Have you ever worked on GUI projects or have been involved in the design process?,Which devices do you primarily use apps on?,"When you download a new app, do you in general feel like it is easy to navigate? ","When using an app, how often do you encounter usability problems?",What aspects are most important to you when using an app?,How important is accessibility to you when using an app?,To what extent do you think companies take into the user experience when designing GUI?,"When an app changes its design, how does it affect your experience?",Which of the following frustrates you most in an app?,"When you encounter a problem in an app, what do you usually do?  ",Have you ever been asked for feedback on an app?,"Do you prefer apps with customization options (themes, layout, font size, etc.)?  ",Do you feel apps you use are tested thoroughly before release?  ,How satisfied are you with the overall usability of apps you use?
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,9,Know it but not very experienced,"Yes, as a user/tester",Smartphone,7,4,"Ease of navigation, Performance, Number of features, Functionality",3,4,Gets worse,Too many ads,ChatGPT,Yes,"Yes, highly",Rarely,3
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,10,Know it but not very experienced,"No, i haven’t",Smartphone,10,1,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics, Accessibility (for users with disabilities)",10,10,Depends on the type of changes,Slow performance,Try to figure it out myself,Yes,Somewhat,"Yes, always",10
21–25,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,9,Have some knowledge and applied it a little,"Yes, as a user/tester",Laptop/PC,8,5,"Performance, Number of features, Functionality",3,6,Gets worse,"Poor accessibility (e.g., hard to read, not screen-reader friendly)",Try to figure it out myself,Yes,"Yes, highly",Sometimes,10
26–30,Germany,Student,Management / Business,Master,Not Applicable / Skipped,,,5,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,8,2,"Ease of navigation, Performance, Functionality",6,7,Depends on the type of changes,Too many ads,Search online for help,Yes,Not really,"Yes, always",8
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,5,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,7,2,"Ease of navigation, Performance, Aesthetics",5,7,Stays the same,Too many ads,Try to figure it out myself,No,"Yes, highly",Sometimes,8
18–20,Germany,Student,Management / Business,Bachelor,Not Applicable / Skipped,,,0,Never heard of it,"No, i haven’t",Smartphone,5,3,Ease of navigation,8,6,Gets worse,"Poor accessibility (e.g., hard to read, not screen-reader friendly)",Contact support,Yes,"Yes, highly",Sometimes,6
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,10,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,8,2,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics",7,9,Gets worse,Slow performance,Try to figure it out myself,Yes,Somewhat,"Yes, always",9
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,5,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,8,3,Performance,5,7,Improves my experience,Too many ads,Try to figure it out myself,No,"Yes, highly",Sometimes,8
21–25,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,8,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,10,1,"Performance, Number of features, Functionality",3,10,Depends on the type of changes,Slow performance,Search online for help,Yes,Not really,"Yes, always",10
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,5,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,9,2,"Ease of navigation, Functionality, Aesthetics",2,5,Depends on the type of changes,Too many ads,Search online for help,No,"Yes, highly",Sometimes,9
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"No, i haven’t",Smartphone,6,3,"Ease of navigation, Performance, Functionality",3,7,Depends on the type of changes,Slow performance,Search online for help,Yes,"Yes, highly",Rarely,8
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,10,Know it but not very experienced,"No, i haven’t",Smartphone,9,2,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics",5,5,Depends on the type of changes,Too many ads,Search online for help,Yes,"Yes, highly",Sometimes,8
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,9,Have some knowledge and applied it a little,"No, i haven’t",Tablet,7,3,"Ease of navigation, Performance, Functionality",8,7,Depends on the type of changes,Too many ads,Search online for help,Yes,Somewhat,Sometimes,8
26–30,Estonia,Employed,Not Applicable / Employed,Not Applicable / Employed,Arts / Entertainment,16+ years,10-50,3,Never heard of it,"No, i haven’t",Smartphone,8,2,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics, Accessibility (for users with disabilities)",10,8,Depends on the type of changes,Slow performance,Stop using the app,No,"Yes, highly","Yes, always",10
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"No, i haven’t",Laptop/PC,8,2,"Performance, Functionality, Aesthetics",7,4,Depends on the type of changes,Too many ads,Try to figure it out myself,Yes,"Yes, highly",Sometimes,8
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"Yes, as a user/tester",Smartphone,7,3,"Ease of navigation, Performance, Functionality, Aesthetics",2,6,Depends on the type of changes,Too many ads,Try to figure it out myself,Yes,Somewhat,Sometimes,8
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,8,"Heard of it, but don’t know what it means","No, i haven’t",Laptop/PC,8,3,"Ease of navigation, Functionality",7,7,Depends on the type of changes,Confusing navigation,Try to figure it out myself,No,Somewhat,"Yes, always",7
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,1,Never heard of it,"No, i haven’t",Smartphone,7,3,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics",1,0,Depends on the type of changes,Confusing navigation,Try to figure it out myself,Yes,"Yes, highly","Yes, always",7
18–20,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,10,Never heard of it,"No, i haven’t",Laptop/PC,8,3,"Ease of navigation, Performance, Functionality",7,5,Gets worse,Too many ads,Try to figure it out myself,Yes,Somewhat,"Yes, always",8
18–20,Germany,Student,Management / Business,Bachelor,Not Applicable / Skipped,,,9,"Heard of it, but don’t know what it means","No, i haven’t",Smartphone,4,4,"Ease of navigation, Performance, Functionality",7,8,Depends on the type of changes,Bugs or errors,Try to figure it out myself,Yes,Not really,Sometimes,6
21–25,Germany,Student,Information / Engineering,Bachelor,Not Applicable / Skipped,,,10,Have some knowledge and applied it a little,"No, i haven’t",Smartphone,10,1,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics",6,8,Depends on the type of changes,Too many ads,Search online for help,Yes,"Yes, highly",Sometimes,6
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,8,Never heard of it,"No, i haven’t",Laptop/PC,10,2,"Performance, Functionality, Aesthetics",8,7,Depends on the type of changes,Slow performance,Stop using the app,Yes,Somewhat,Sometimes,7
26–30,Germany,Student,Information / Engineering,Master,Not Applicable / Skipped,,,7,Never heard of it,"No, i haven’t",Smartphone,8,3,"Ease of navigation, Performance, Functionality",1,3,Depends on the type of changes,Bugs or errors,Search online for help,Yes,"No, not at all",Sometimes,6
21–25,Germany,Student,Management / Business,Bachelor,Not Applicable / Skipped,,,10,Know it very well,"No, i haven’t",Laptop/PC,8,1,"Performance, Functionality, Aesthetics",5,8,Depends on the type of changes,Too many ads,Try to figure it out myself,Yes,"Yes, highly",Sometimes,8
31–40,Germany,Employed,Not Applicable / Employed,Not Applicable / Employed,Food / Hospitality,3–5 years,50-250,8,Never heard of it,"No, i haven’t",Laptop/PC,5,4,"Ease of navigation, Performance, Number of features, Functionality, no bugs",0,3,Depends on the type of changes,Too many ads,Search online for help,Yes,"Yes, highly",Rarely,2
31–40,Germany,Student,Management / Business,Master,Not Applicable / Skipped,,,8,Never heard of it,"No, i haven’t",Smartphone,9,2,"Ease of navigation, Performance, Functionality",2,7,Depends on the type of changes,Slow performance,Try to figure it out myself,Yes,Not really,Sometimes,9
21–25,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,7,Know it but not very experienced,"No, i haven’t",Laptop/PC,5,3,"Ease of navigation, Performance, Functionality, Accessibility (for users with disabilities)",6,6,Depends on the type of changes,Slow performance,Search online for help,Yes,Somewhat,Sometimes,8
21–25,Germany,Student,Marketing / Other,Bachelor,Not Applicable / Skipped,,,8,Know it but not very experienced,"Yes, as a user/tester",Smartphone,6,4,"Ease of navigation, Performance, Number of features, Functionality, Aesthetics, Accessibility (for users with disabilities)",10,7,Depends on the type of changes,Confusing navigation,Search online for help,Yes,Not really,"Yes, always",8
18–20,Germany,Student,Computer Science / Informatics,Bachelor,Not Applicable / Skipped,,,6,Have some knowledge and applied it a little,"No, i haven’t",Smartphone,5,4,"Ease of navigation, Performance, Functionality",5,2,Gets worse,Too many ads,Search online for help,Yes,Somewhat,Rarely,6
